name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,year,month,region,civ_death,civ_cases,civ_hosp,civ_tests,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Florida,FL,0.0,654.0,331.0,1.0,735.0,522.0,629.0,4.0,2020-12-30,2020.0,12.0,South,3156,317158,8187,2975525,56402.0,87861.0,127.0,99.0,75619.0,67915.0,95.0,128.0,97538.0,90812.0,6726.0,96009.0,89381.0,6628.0,109.0,105.0,68175.0,14.0,101.0,29.0,66.0,4.0,3.0,2.1,28.42,-81.55
Florida,FL,0.0,715.0,807.0,1.0,0.0,216.0,444.0,14.0,2021-01-26,2021.0,1.0,South,4925,389172,9643,2988007,56402.0,87861.0,127.0,99.0,75619.0,67915.0,95.0,128.0,97538.0,90812.0,6726.0,96009.0,89381.0,6628.0,109.0,105.0,68175.0,14.0,101.0,29.0,66.0,4.0,3.0,2.1,28.42,-81.55
Georgia,GA,,74.0,0.0,1.0,,224.0,0.0,7.0,2020-04-29,2020.0,4.0,South,1009,22226,4323,141271,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,73.0,0.0,0.0,,187.0,0.0,9.0,2020-05-27,2020.0,5.0,South,922,20831,2790,306283,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,64.0,61.0,0.0,,296.0,175.0,5.0,2020-06-30,2020.0,6.0,South,763,34305,3105,366269,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,219.0,95.0,0.0,,175.0,302.0,9.0,2020-07-28,2020.0,7.0,South,947,105061,7638,770397,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,287.0,236.0,0.0,,550.0,338.0,10.0,2020-08-25,2020.0,8.0,South,1880,84119,5915,739504,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,172.0,289.0,1.0,,440.0,574.0,24.0,2020-09-29,2020.0,9.0,South,1389,47555,3918,590045,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,95.0,114.0,0.0,,168.0,174.0,13.0,2020-10-27,2020.0,10.0,South,958,42764,3177,629003,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,74.0,86.0,0.0,,232.0,210.0,3.0,2020-11-24,2020.0,11.0,South,1473,110773,3125,751766,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,200.0,138.0,0.0,,373.0,343.0,4.0,2020-12-29,2020.0,12.0,South,1482,194889,7260,1034942,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Georgia,GA,,269.0,263.0,0.0,,665.0,506.0,3.0,2021-01-27,2021.0,1.0,South,3264,242993,8153,1103356,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Hawaii,HI,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2020-04-29,2020.0,4.0,West,16,409,57,0,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2020-05-27,2020.0,5.0,West,1,38,14,54620,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2020-06-30,2020.0,6.0,West,1,249,28,35957,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,0.0,0.0,0.0,77.0,0.0,0.0,0.0,2020-07-28,2020.0,7.0,West,8,1089,66,59817,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,57.0,27.0,0.0,1225.0,243.0,0.0,0.0,2020-08-25,2020.0,8.0,West,37,6350,328,110343,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,57.0,58.0,0.0,2497.0,107.0,307.0,0.0,2020-09-29,2020.0,9.0,West,69,4130,327,155203,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,6.0,23.0,0.0,1431.0,125.0,92.0,0.0,2020-10-27,2020.0,10.0,West,84,2747,265,-415940,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,14.0,6.0,0.0,3487.0,751.0,537.0,1.0,2020-11-24,2020.0,11.0,West,28,3007,190,0,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,63.0,44.0,0.0,4095.0,484.0,553.0,0.0,2020-12-29,2020.0,12.0,West,44,3609,481,0,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Hawaii,HI,,19.0,38.0,0.0,1123.0,162.0,362.0,1.0,2021-01-26,2021.0,1.0,West,122,4686,299,0,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Idaho,ID,60.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,2020-04-29,2020.0,4.0,West,53,1569,130,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,18.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,2020-05-27,2020.0,5.0,West,22,855,67,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,62.0,17.0,0.0,0.0,318.0,9.0,0.0,0.0,2020-06-30,2020.0,6.0,West,9,2913,80,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,719.0,68.0,60.0,0.0,1590.0,763.0,477.0,0.0,2020-07-28,2020.0,7.0,West,86,14494,513,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,510.0,10.0,31.0,0.0,2686.0,442.0,471.0,1.0,2020-08-25,2020.0,8.0,West,182,11621,534,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,395.0,32.0,28.0,0.0,3430.0,543.0,284.0,1.0,2020-09-29,2020.0,9.0,West,105,9567,478,0,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,782.0,53.0,30.0,0.0,726.0,397.0,348.0,1.0,2020-10-27,2020.0,10.0,West,162,22376,725,520322,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,729.0,89.0,66.0,0.0,635.0,479.0,294.0,2.0,2020-11-24,2020.0,11.0,West,294,36674,1406,192980,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,990.0,120.0,156.0,0.0,318.0,972.0,435.0,1.0,2020-12-29,2020.0,12.0,West,483,39380,1589,142265,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Idaho,ID,883.0,51.0,43.0,0.0,383.0,361.0,271.0,0.0,2021-01-26,2021.0,1.0,West,322,22819,1107,134877,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Illinois,IL,0.0,146.0,0.0,0.0,587.0,152.0,0.0,10.0,2020-04-29,2020.0,4.0,Midwest,2256,46924,0,0,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,23.0,0.0,0.0,50.0,60.0,0.0,3.0,2020-05-28,2020.0,5.0,Midwest,3035,67342,0,898259,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,23.0,28.0,0.0,350.0,107.0,50.0,0.0,2020-06-30,2020.0,6.0,Midwest,1734,23978,0,704706,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,72.0,40.0,0.0,1185.0,38.0,97.0,0.0,2020-07-28,2020.0,7.0,Midwest,568,35880,0,1096603,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,190.0,124.0,0.0,4615.0,414.0,159.0,1.0,2020-08-25,2020.0,8.0,Midwest,543,56607,0,1364593,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,379.0,357.0,0.0,3200.0,1009.0,779.0,8.0,2020-09-29,2020.0,9.0,Midwest,681,59038,0,1560661,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,0.0,316.0,274.0,0.0,3200.0,517.0,637.0,7.0,2020-10-27,2020.0,10.0,Midwest,1134,120796,0,2105023,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,3592.0,1095.0,770.0,1.0,3362.0,1660.0,863.0,12.0,2020-11-24,2020.0,11.0,Midwest,2935,309745,0,2768153,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,18317.0,1157.0,1341.0,0.0,33776.0,3592.0,3110.0,24.0,2020-12-29,2020.0,12.0,Midwest,4993,237085,0,2779445,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Illinois,IL,36368.0,498.0,656.0,0.0,137292.0,2645.0,3653.0,19.0,2021-01-26,2021.0,1.0,Midwest,3275,162912,0,2761849,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Indiana,IN,0.0,125.0,0.0,2.0,0.0,334.0,0.0,7.0,2020-04-29,2020.0,4.0,Midwest,1065,15676,0,103033,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,293.0,134.0,0.0,0.0,499.0,322.0,0.0,11.0,2020-05-27,2020.0,5.0,Midwest,1020,16739,5285,208962,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,144.0,16.0,59.0,0.0,494.0,42.0,193.0,2.0,2020-06-30,2020.0,6.0,Midwest,506,11020,1780,280118,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,145.0,13.0,20.0,0.0,487.0,8.0,29.0,0.0,2020-07-28,2020.0,7.0,Midwest,325,20560,1662,379812,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,385.0,58.0,37.0,0.0,1152.0,256.0,16.0,0.0,2020-08-25,2020.0,8.0,Midwest,331,28042,2316,533067,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,339.0,70.0,57.0,0.0,1785.0,248.0,413.0,6.0,2020-09-29,2020.0,9.0,Midwest,336,25823,1771,603930,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,505.0,91.0,61.0,1.0,2205.0,233.0,268.0,2.0,2020-10-27,2020.0,10.0,Midwest,700,59339,4033,777355,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,1024.0,325.0,206.0,0.0,2569.0,596.0,424.0,7.0,2020-11-24,2020.0,11.0,Midwest,1391,159619,9171,1349347,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,1275.0,449.0,471.0,1.0,3127.0,929.0,1159.0,10.0,2020-12-29,2020.0,12.0,Midwest,2540,172508,8981,1421746,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Indiana,IN,455.0,164.0,241.0,0.0,1823.0,266.0,336.0,4.0,2021-01-26,2021.0,1.0,Midwest,1711,115197,5349,1332813,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Iowa,IA,,5.0,0.0,0.0,262.0,15.0,0.0,0.0,2020-04-29,2020.0,4.0,Midwest,155,6648,-94,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,11.0,0.0,0.0,883.0,8.0,0.0,0.0,2020-05-27,2020.0,5.0,Midwest,372,12407,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,7.0,9.0,0.0,1130.0,12.0,22.0,0.0,2020-06-29,2020.0,6.0,Midwest,181,9455,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,40.0,22.0,0.0,3563.0,340.0,283.0,3.0,2020-07-28,2020.0,7.0,Midwest,152,15575,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,32.0,34.0,0.0,3164.0,149.0,84.0,0.0,2020-08-25,2020.0,8.0,Midwest,249,18746,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,54.0,50.0,0.0,4536.0,559.0,615.0,1.0,2020-09-29,2020.0,9.0,Midwest,228,22268,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,50.0,45.0,0.0,6178.0,173.0,217.0,0.0,2020-10-27,2020.0,10.0,Midwest,372,34159,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,285.0,231.0,1.0,7867.0,1943.0,1754.0,6.0,2020-11-24,2020.0,11.0,Midwest,687,82655,0,0,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,128.0,179.0,1.0,4872.0,758.0,789.0,3.0,2020-12-29,2020.0,12.0,Midwest,1488,36763,0,2218153,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Iowa,IA,,66.0,74.0,0.0,5164.0,470.0,538.0,1.0,2021-01-26,2021.0,1.0,Midwest,1010,28385,0,277237,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Kansas,KS,0.0,78.0,0.0,0.0,2084.0,81.0,0.0,2.0,2020-04-29,2020.0,4.0,Midwest,120,3810,444,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,33.0,0.0,2.0,102.0,784.0,0.0,2.0,2020-05-27,2020.0,5.0,Midwest,79,5481,319,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,235.0,4.0,17.0,0.0,533.0,36.0,41.0,0.0,2020-06-23,2020.0,6.0,Midwest,62,4724,310,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,13.0,51.0,1.0,1238.0,24.0,17.0,0.0,2020-07-29,2020.0,7.0,Midwest,88,13369,599,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,1059.0,57.0,43.0,0.0,2259.0,483.0,108.0,0.0,2020-08-26,2020.0,8.0,Midwest,88,14800,553,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,406.0,42.0,0.0,0.0,4702.0,679.0,0.0,1.0,2020-09-23,2020.0,9.0,Midwest,232,17137,613,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,195.0,0.0,0.0,0.0,1518.0,0.0,2.0,2020-10-29,2020.0,10.0,Midwest,351,25432,915,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,252.0,0.0,0.0,0.0,1060.0,0.0,4.0,2020-11-23,2020.0,11.0,Midwest,531,72265,1273,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,291.0,0.0,1.0,0.0,518.0,0.0,1.0,2020-12-28,2020.0,12.0,Midwest,1181,64987,1655,0,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kansas,KS,0.0,156.0,0.0,1.0,0.0,578.0,0.0,2.0,2021-01-28,2021.0,1.0,Midwest,1038,52252,1657,2194854,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kentucky,KY,0.0,25.0,0.0,0.0,0.0,38.0,0.0,2.0,2020-04-29,2020.0,4.0,South,224,4059,1359,47291,11349.0,14255.0,109.0,105.0,13010.0,15451.0,95.0,97.0,23431.0,20380.0,3051.0,23082.0,20177.0,2905.0,25.0,25.0,9862.0,11.0,23.0,4.0,16.0,6.0,0.0,5.1,37.79,-84.87
Kentucky,KY,0.0,23.0,0.0,0.0,0.0,312.0,0.0,0.0,2020-05-27,2020.0,5.0,South,196,5165,913,159485,11349.0,14255.0,109.0,105.0,13010.0,15451.0,95.0,97.0,23431.0,20380.0,3051.0,23082.0,20177.0,2905.0,25.0,25.0,9862.0,11.0,23.0,4.0,16.0,6.0,0.0,5.1,37.79,-84.87
