name,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
South Carolina,19385.0,23163.0,110.0,97.0,23327.0,23310.0,91.0,97.0,19033.0,17706.0,1327.0,18608.0,17327.0,1281.0,33.0,29.0,17053.0,16.0,29.0,6.0,20.0,6.0,0.0,1.28,34.0,-81.0
South Dakota,2372.0,2605.0,109.0,132.0,2633.0,3653.0,98.0,94.0,3948.0,3377.0,571.0,3801.0,3239.0,562.0,6.0,3.0,831.0,3.0,3.0,0.0,3.0,0.0,1.0,2.18,44.5,-100.25
Tennessee,18724.0,17930.0,98.0,109.0,19120.0,20168.0,96.0,97.0,26321.0,23642.0,2679.0,26349.0,23615.0,2734.0,19.0,17.0,14287.0,8.0,14.0,4.0,12.0,7.0,1.0,3.0,35.75,-86.25
Texas,169773.0,170232.0,96.0,96.0,170328.0,171362.0,95.0,95.0,163628.0,149193.0,14435.0,158429.0,144787.0,13642.0,132.0,119.0,123419.0,34.0,114.0,51.0,89.0,4.0,6.0,3.9,31.25,-99.25
Utah,4463.0,5382.0,109.0,101.0,5283.0,5513.0,92.0,99.0,6651.0,6076.0,575.0,6665.0,6083.0,582.0,7.0,5.0,595.0,2.0,5.0,1.0,2.0,2.0,1.0,3.64,39.25,-111.75
Vermont,1234.0,1617.0,106.0,99.0,1345.0,1665.0,97.0,96.0,1659.0,1519.0,140.0,1608.0,1484.0,124.0,9.0,9.0,513.0,3.0,8.0,2.0,1.0,2.0,0.0,2.42,44.16,-72.7678
Virginia,14792.0,14792.0,212.0,0.0,32759.0,32469.0,96.0,97.0,36660.0,33620.0,3040.0,36091.0,33090.0,3001.0,59.0,58.0,21089.0,20.0,53.0,29.0,28.0,13.0,0.0,1.97,37.77,-78.24
Washington,13165.0,14731.0,112.0,110.0,9947.0,12293.0,148.0,131.0,19523.0,17803.0,1720.0,19261.0,17626.0,1635.0,32.0,29.0,6375.0,9.0,15.0,5.0,10.0,23.0,3.0,2.46,47.5,-120.5
West Virginia,3193.0,2976.0,96.0,132.0,3098.0,4047.0,99.0,97.0,6775.0,5989.0,786.0,6800.0,5979.0,821.0,15.0,11.0,2074.0,6.0,11.0,4.0,8.0,1.0,1.0,1.32,38.63,-80.73
Wisconsin,11774.0,16324.0,132.0,136.0,14417.0,20380.0,108.0,109.0,24064.0,22473.0,1591.0,23956.0,22405.0,1551.0,41.0,39.0,8980.0,17.0,38.0,8.0,18.0,14.0,1.0,1.8,44.5,-90.0
Wyoming,2795.0,1736.0,78.0,82.0,2914.0,1772.0,75.0,80.0,2543.0,2207.0,336.0,2479.0,2142.0,337.0,7.0,7.0,1001.0,0.0,5.0,2.0,3.0,4.0,0.0,3.2,43.0,-107.5
