"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"25","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"26","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"27","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"28","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"29","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"30","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"31","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-02,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"32","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"33","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"34","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-02,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"35","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"36","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-02,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"37","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"38","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"39","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"40","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-03,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"41","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"42","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"43","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-03,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"44","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"45","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"46","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-03,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"47","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"48","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-03,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"49","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"50","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"51","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"52","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-04,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"53","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"54","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"55","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-04,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"56","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"57","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"58","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-04,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"59","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"60","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-04,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"61","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
