"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"29","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-20,"129","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"30","Prison","STATEWIDE","Arkansas",2020-04-21,"56","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"31","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-21,"675",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"32","Prison","STATEWIDE","Arkansas",2020-04-22,"56","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"33","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-22,"675",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"34","Prison","STATEWIDE","Arkansas",2020-04-23,"56","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"35","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-23,"675",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"36","Prison","STATEWIDE","Arkansas",2020-04-24,"61","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"37","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-24,"690","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"38","Prison","STATEWIDE","Arkansas",2020-04-25,"61","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"39","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-25,"690","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"40","Prison","STATEWIDE","Arkansas",2020-04-26,"61","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"41","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-26,"690","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"42","Prison","STATEWIDE","Arkansas",2020-04-27,"61","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"43","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-27,"690","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"44","Prison","STATEWIDE","Arkansas",2020-04-28,"921","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"45","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-28,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"46","Prison","STATEWIDE","Arkansas",2020-04-29,"921","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"47","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-29,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"48","Prison","STATEWIDE","Arkansas",2020-04-30,"921","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"49","Prison","CUMMINS UNIT PRISON","Arkansas",2020-04-30,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"50","Prison","STATEWIDE","Arkansas",2020-05-01,"860","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
