name,state,staff_tests,total_staff_cases,staff_recovered,total_staff_deaths,prisoner_tests,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,as_of_date,as_of_date_month_year,year,month,region
Hawaii,HI,,0,0,0,16,0,0,0,4/29/20,04-2020,2020,4,West
Hawaii,HI,,0,0,0,14,0,0,0,4/22/20,04-2020,2020,4,West
Hawaii,HI,,0,0,0,5,0,0,0,4/15/20,04-2020,2020,4,West
Hawaii,HI,,0,0,0,2,0,0,0,4/8/20,04-2020,2020,4,West
Hawaii,HI,,0,0,0,2,0,0,0,4/1/20,04-2020,2020,4,West
Hawaii,HI,,0,0,0,30,0,0,0,5/27/20,05-2020,2020,5,West
Hawaii,HI,,0,0,0,26,0,0,0,5/20/20,05-2020,2020,5,West
Hawaii,HI,,0,0,0,24,0,0,0,5/13/20,05-2020,2020,5,West
Hawaii,HI,,0,0,0,20,0,0,0,5/6/20,05-2020,2020,5,West
Hawaii,HI,,0,0,0,54,0,0,0,6/30/20,06-2020,2020,6,West
Hawaii,HI,,0,0,0,49,0,0,0,6/23/20,06-2020,2020,6,West
Hawaii,HI,,0,0,0,42,0,0,0,6/16/20,06-2020,2020,6,West
Hawaii,HI,,0,0,0,40,0,0,0,6/9/20,06-2020,2020,6,West
Hawaii,HI,,0,0,0,34,0,0,0,6/2/20,06-2020,2020,6,West
Hawaii,HI,,0,0,0,131,0,0,0,7/28/20,07-2020,2020,7,West
Hawaii,HI,,0,0,0,119,0,0,0,7/21/20,07-2020,2020,7,West
Hawaii,HI,,0,0,0,70,0,0,0,7/14/20,07-2020,2020,7,West
Hawaii,HI,,0,0,0,62,0,0,0,7/7/20,07-2020,2020,7,West
Hawaii,HI,,57,27,0,1356,243,0,0,8/25/20,08-2020,2020,8,West
Hawaii,HI,,41,27,0,963,232,0,0,8/19/20,08-2020,2020,8,West
Hawaii,HI,,11,27,0,284,9,0,0,8/11/20,08-2020,2020,8,West
Hawaii,HI,,0,0,0,143,0,0,0,8/4/20,08-2020,2020,8,West
Hawaii,HI,,114,85,0,3853,350,307,0,9/29/20,09-2020,2020,9,West
Hawaii,HI,,109,77,0,2805,320,301,0,9/22/20,09-2020,2020,9,West
Hawaii,HI,,102,62,0,2404,310,289,0,9/15/20,09-2020,2020,9,West
Hawaii,HI,,92,47,0,2106,300,274,0,9/8/20,09-2020,2020,9,West
Hawaii,HI,,74,27,0,1831,299,217,0,9/1/20,09-2020,2020,9,West
Hawaii,HI,,120,108,0,5284,475,399,0,10/27/20,10-2020,2020,10,West
Hawaii,HI,,120,103,0,4752,430,395,0,10/20/20,10-2020,2020,10,West
Hawaii,HI,,120,100,0,4592,408,382,0,10/13/20,10-2020,2020,10,West
Hawaii,HI,,117,94,0,4396,397,340,0,10/6/20,10-2020,2020,10,West
Hawaii,HI,,134,114,0,8771,1226,936,1,11/24/20,11-2020,2020,11,West
Hawaii,HI,,124,114,0,7772,953,805,0,11/17/20,11-2020,2020,11,West
Hawaii,HI,,121,110,0,7724,878,458,0,11/10/20,11-2020,2020,11,West
Hawaii,HI,,121,109,0,6431,803,399,0,11/4/20,11-2020,2020,11,West
Hawaii,HI,,197,158,0,12866,1710,1489,1,12/29/20,12-2020,2020,12,West
Hawaii,HI,,186,137,0,12520,1632,1317,1,12/22/20,12-2020,2020,12,West
Hawaii,HI,,170,128,0,11678,1467,1290,1,12/15/20,12-2020,2020,12,West
Hawaii,HI,,138,128,0,10616,1296,1215,1,12/8/20,12-2020,2020,12,West
Hawaii,HI,,135,115,0,9492,1248,989,1,12/1/20,12-2020,2020,12,West
Idaho,ID,2,0,5,0,10,0,0,0,3/26/20,03-2020,2020,3,West
Idaho,ID,62,4,5,0,34,0,0,0,4/29/20,04-2020,2020,4,West
Idaho,ID,51,3,5,0,27,0,0,0,4/21/20,04-2020,2020,4,West
Idaho,ID,41,2,5,0,24,0,0,0,4/15/20,04-2020,2020,4,West
Idaho,ID,24,2,5,0,21,0,0,0,4/8/20,04-2020,2020,4,West
Idaho,ID,10,0,5,0,14,0,0,0,4/1/20,04-2020,2020,4,West
Idaho,ID,80,5,5,0,57,0,0,0,5/27/20,05-2020,2020,5,West
Idaho,ID,75,5,5,0,55,0,0,0,5/20/20,05-2020,2020,5,West
Idaho,ID,74,6,5,0,50,0,0,0,5/13/20,05-2020,2020,5,West
Idaho,ID,68,5,5,0,47,0,0,0,5/5/20,05-2020,2020,5,West
Idaho,ID,142,22,5,0,375,9,0,0,6/30/20,06-2020,2020,6,West
Idaho,ID,99,9,5,0,74,0,0,0,6/23/20,06-2020,2020,6,West
Idaho,ID,86,5,5,0,68,0,0,0,6/16/20,06-2020,2020,6,West
Idaho,ID,84,5,5,0,65,0,0,0,6/9/20,06-2020,2020,6,West
Idaho,ID,82,5,5,0,62,0,0,0,6/2/20,06-2020,2020,6,West
Idaho,ID,861,90,65,0,1965,772,477,0,7/28/20,07-2020,2020,7,West
Idaho,ID,658,86,47,0,1884,763,100,0,7/21/20,07-2020,2020,7,West
Idaho,ID,407,68,27,0,1624,694,9,0,7/14/20,07-2020,2020,7,West
Idaho,ID,198,46,11,0,807,131,0,0,7/7/20,07-2020,2020,7,West
Idaho,ID,1371,100,96,0,4651,1214,948,1,8/25/20,08-2020,2020,8,West
Idaho,ID,1342,99,95,0,4506,1136,801,1,8/18/20,08-2020,2020,8,West
Idaho,ID,1308,98,86,0,3658,1062,713,1,8/11/20,08-2020,2020,8,West
Idaho,ID,1179,92,71,0,2255,925,681,1,8/4/20,08-2020,2020,8,West
Idaho,ID,1766,132,124,0,8081,1757,1232,2,9/29/20,09-2020,2020,9,West
Idaho,ID,1751,128,116,0,7911,1696,1139,2,9/24/20,09-2020,2020,9,West
Idaho,ID,1556,122,109,0,7191,1604,1134,2,9/15/20,09-2020,2020,9,West
Idaho,ID,1397,112,100,0,6959,1407,1027,2,9/8/20,09-2020,2020,9,West
Idaho,ID,1390,106,98,0,6318,1274,964,2,9/1/20,09-2020,2020,9,West
Idaho,ID,2548,185,154,0,8807,2154,1580,3,10/27/20,10-2020,2020,10,West
Idaho,ID,2386,174,149,0,8479,1994,1481,3,10/20/20,10-2020,2020,10,West
Idaho,ID,2071,153,135,0,8478,1991,1476,2,10/13/20,10-2020,2020,10,West
Idaho,ID,1832,142,129,0,8333,1899,1386,2,10/6/20,10-2020,2020,10,West
Idaho,ID,3277,274,220,0,9442,2633,1874,5,11/24/20,11-2020,2020,11,West
Idaho,ID,3040,239,201,0,9300,2284,1863,5,11/17/20,11-2020,2020,11,West
Idaho,ID,2921,209,188,0,9238,2249,1835,4,11/10/20,11-2020,2020,11,West
Idaho,ID,2650,195,172,0,8977,2169,1833,3,11/3/20,11-2020,2020,11,West
Idaho,ID,4267,394,376,0,9760,3605,2309,6,12/29/20,12-2020,2020,12,West
Idaho,ID,4253,385,348,0,9712,3582,2236,6,12/22/20,12-2020,2020,12,West
Idaho,ID,4253,380,328,0,9653,3408,2131,6,12/15/20,12-2020,2020,12,West
Idaho,ID,3636,346,283,0,9500,2934,1976,6,12/8/20,12-2020,2020,12,West
Idaho,ID,3340,302,254,0,9442,2633,1874,5,12/1/20,12-2020,2020,12,West
Illinois,IL,2300,3,142,0,13,3,185,0,3/25/20,03-2020,2020,3,Midwest
Illinois,IL,2300,149,142,0,600,155,185,10,4/29/20,04-2020,2020,4,Midwest
Illinois,IL,2300,139,142,0,600,148,185,10,4/22/20,04-2020,2020,4,Midwest
Illinois,IL,2300,124,142,0,600,146,185,8,4/16/20,04-2020,2020,4,Midwest
Illinois,IL,2300,79,142,0,600,112,185,2,4/8/20,04-2020,2020,4,Midwest
Illinois,IL,2300,25,142,0,239,52,185,1,4/1/20,04-2020,2020,4,Midwest
Illinois,IL,2300,172,142,0,650,215,185,13,5/28/20,05-2020,2020,5,Midwest
Illinois,IL,2300,166,142,0,600,204,185,12,5/20/20,05-2020,2020,5,Midwest
Illinois,IL,2300,160,142,0,600,192,185,12,5/14/20,05-2020,2020,5,Midwest
Illinois,IL,2300,157,142,0,600,176,185,12,5/6/20,05-2020,2020,5,Midwest
Illinois,IL,2300,195,170,0,1000,322,235,13,6/30/20,06-2020,2020,6,Midwest
Illinois,IL,2300,187,167,0,900,274,225,13,6/23/20,06-2020,2020,6,Midwest
Illinois,IL,2300,179,164,0,263,263,218,13,6/16/20,06-2020,2020,6,Midwest
Illinois,IL,2300,178,160,0,900,231,213,13,6/9/20,06-2020,2020,6,Midwest
Illinois,IL,2300,175,152,0,750,221,196,13,6/2/20,06-2020,2020,6,Midwest
Illinois,IL,2300,267,210,0,2185,360,332,13,7/28/20,07-2020,2020,7,Midwest
Illinois,IL,2300,237,198,0,1800,343,307,13,7/21/20,07-2020,2020,7,Midwest
Illinois,IL,2300,214,180,0,1600,337,278,13,7/14/20,07-2020,2020,7,Midwest
Illinois,IL,2300,203,174,0,1100,337,263,13,7/7/20,07-2020,2020,7,Midwest
Illinois,IL,2300,457,334,0,6800,774,491,14,8/25/20,08-2020,2020,8,Midwest
Illinois,IL,2300,389,289,0,4000,662,395,14,8/18/20,08-2020,2020,8,Midwest
Illinois,IL,2300,335,252,0,2500,532,353,13,8/11/20,08-2020,2020,8,Midwest
Illinois,IL,2300,289,232,0,2400,373,335,13,8/4/20,08-2020,2020,8,Midwest
Illinois,IL,2300,836,691,0,10000,1783,1270,22,9/29/20,09-2020,2020,9,Midwest
Illinois,IL,2300,753,619,0,9200,1615,1092,17,9/22/20,09-2020,2020,9,Midwest
Illinois,IL,2300,672,539,0,8700,1356,893,14,9/15/20,09-2020,2020,9,Midwest
Illinois,IL,2300,598,453,0,8000,1240,691,14,9/8/20,09-2020,2020,9,Midwest
Illinois,IL,2300,534,398,0,6800,912,607,14,9/1/20,09-2020,2020,9,Midwest
Illinois,IL,2300,1152,965,0,13200,2300,1907,29,10/27/20,10-2020,2020,10,Midwest
Illinois,IL,2300,1041,889,0,12650,2110,1781,27,10/20/20,10-2020,2020,10,Midwest
Illinois,IL,2300,929,819,0,11700,1989,1647,25,10/13/20,10-2020,2020,10,Midwest
Illinois,IL,2300,880,762,0,11700,1846,1427,25,10/6/20,10-2020,2020,10,Midwest
Illinois,IL,5892,2247,1735,1,16562,3960,2770,41,11/24/20,11-2020,2020,11,Midwest
Illinois,IL,5892,1974,1414,1,16562,3347,2549,36,11/17/20,11-2020,2020,11,Midwest
Illinois,IL,2300,1638,1193,1,14000,3008,2296,34,11/10/20,11-2020,2020,11,Midwest
Illinois,IL,2300,1315,1058,0,13400,2598,2081,31,11/4/20,11-2020,2020,11,Midwest
Illinois,IL,24209,3404,3076,1,50338,7552,5880,65,12/29/20,12-2020,2020,12,Midwest
Illinois,IL,18683,3230,2825,1,37676,6921,5178,50,12/22/20,12-2020,2020,12,Midwest
Illinois,IL,18683,3002,2579,1,37676,5890,4607,50,12/15/20,12-2020,2020,12,Midwest
Illinois,IL,10859,2758,2319,1,24644,5219,3901,50,12/8/20,12-2020,2020,12,Midwest
Illinois,IL,8728,2485,2041,1,19275,4530,3288,45,12/1/20,12-2020,2020,12,Midwest
Indiana,IN,811,18,200,0,840,0,472,0,3/26/20,03-2020,2020,3,Midwest
Indiana,IN,811,143,200,2,840,334,472,7,4/29/20,04-2020,2020,4,Midwest
Indiana,IN,811,87,200,0,840,238,472,3,4/22/20,04-2020,2020,4,Midwest
Indiana,IN,811,46,200,0,840,34,472,1,4/15/20,04-2020,2020,4,Midwest
Indiana,IN,811,18,200,0,840,10,472,0,4/8/20,04-2020,2020,4,Midwest
Indiana,IN,811,18,200,0,840,5,472,0,4/1/20,04-2020,2020,4,Midwest
Indiana,IN,1104,277,200,2,1339,656,472,18,5/27/20,05-2020,2020,5,Midwest
Indiana,IN,1047,268,200,2,1221,631,472,17,5/20/20,05-2020,2020,5,Midwest
Indiana,IN,961,250,200,2,1136,579,472,16,5/13/20,05-2020,2020,5,Midwest
Indiana,IN,811,208,200,2,840,496,472,13,5/6/20,05-2020,2020,5,Midwest
Indiana,IN,1248,293,259,2,1833,698,665,20,6/30/20,06-2020,2020,6,Midwest
Indiana,IN,1227,293,259,2,1730,681,661,20,6/23/20,06-2020,2020,6,Midwest
Indiana,IN,1196,288,254,2,1640,673,629,19,6/16/20,06-2020,2020,6,Midwest
Indiana,IN,1172,286,251,2,1393,666,583,19,6/9/20,06-2020,2020,6,Midwest
Indiana,IN,1142,281,236,2,1374,658,523,19,6/2/20,06-2020,2020,6,Midwest
Indiana,IN,1393,306,279,2,2320,706,694,20,7/28/20,07-2020,2020,7,Midwest
Indiana,IN,1352,304,276,2,2112,703,690,20,7/21/20,07-2020,2020,7,Midwest
Indiana,IN,1307,299,263,2,2033,702,687,20,7/14/20,07-2020,2020,7,Midwest
Indiana,IN,1264,293,260,2,1955,700,669,20,7/7/20,07-2020,2020,7,Midwest
Indiana,IN,1778,364,316,2,3472,962,710,20,8/25/20,08-2020,2020,8,Midwest
Indiana,IN,1699,349,300,2,3258,921,703,20,8/18/20,08-2020,2020,8,Midwest
Indiana,IN,1527,328,290,2,2881,800,703,20,8/11/20,08-2020,2020,8,Midwest
Indiana,IN,1399,318,286,2,2437,719,695,20,8/4/20,08-2020,2020,8,Midwest
Indiana,IN,2117,434,373,2,5257,1210,1123,26,9/29/20,09-2020,2020,9,Midwest
Indiana,IN,2057,422,369,2,4971,1158,1038,24,9/22/20,09-2020,2020,9,Midwest
Indiana,IN,1992,407,350,2,4515,1124,1003,24,9/15/20,09-2020,2020,9,Midwest
Indiana,IN,1919,400,339,2,4039,1018,910,21,9/8/20,09-2020,2020,9,Midwest
Indiana,IN,1874,380,332,2,3883,992,786,21,9/1/20,09-2020,2020,9,Midwest
Indiana,IN,2622,525,434,3,7462,1443,1391,28,10/27/20,10-2020,2020,10,Midwest
Indiana,IN,2427,490,411,2,7097,1385,1321,27,10/20/20,10-2020,2020,10,Midwest
Indiana,IN,2314,466,401,2,6346,1320,1280,27,10/13/20,10-2020,2020,10,Midwest
Indiana,IN,2159,441,383,2,5804,1289,1218,27,10/6/20,10-2020,2020,10,Midwest
Indiana,IN,3646,850,640,3,10031,2039,1815,35,11/24/20,11-2020,2020,11,Midwest
Indiana,IN,3331,744,553,3,9305,1859,1691,33,11/17/20,11-2020,2020,11,Midwest
Indiana,IN,3037,650,500,3,8730,1726,1551,30,11/10/20,11-2020,2020,11,Midwest
Indiana,IN,2777,565,462,3,8216,1597,1447,28,11/4/20,11-2020,2020,11,Midwest
Indiana,IN,4921,1299,1111,4,13158,2968,2974,45,12/29/20,12-2020,2020,12,Midwest
Indiana,IN,4774,1251,1026,4,12758,2915,2808,44,12/22/20,12-2020,2020,12,Midwest
Indiana,IN,4567,1181,943,3,12262,2790,2520,40,12/15/20,12-2020,2020,12,Midwest
Indiana,IN,4282,1073,839,3,11537,2604,2109,40,12/8/20,12-2020,2020,12,Midwest
Indiana,IN,3951,956,726,3,10673,2291,2009,37,12/1/20,12-2020,2020,12,Midwest
Iowa,IA,,0,9,0,15,0,8,0,3/26/20,03-2020,2020,3,Midwest
Iowa,IA,,5,9,0,277,15,8,0,4/29/20,04-2020,2020,4,Midwest
Iowa,IA,,3,9,0,182,12,8,0,4/22/20,04-2020,2020,4,Midwest
Iowa,IA,,1,9,0,59,0,8,0,4/15/20,04-2020,2020,4,Midwest
Iowa,IA,,0,9,0,23,0,8,0,4/8/20,04-2020,2020,4,Midwest
Iowa,IA,,0,9,0,15,0,8,0,4/1/20,04-2020,2020,4,Midwest
Iowa,IA,,16,9,0,1160,23,8,0,5/27/20,05-2020,2020,5,Midwest
Iowa,IA,,15,9,0,907,23,8,0,5/20/20,05-2020,2020,5,Midwest
Iowa,IA,,13,9,0,574,21,8,0,5/13/20,05-2020,2020,5,Midwest
Iowa,IA,,11,9,0,433,21,8,0,5/6/20,05-2020,2020,5,Midwest
Iowa,IA,,23,18,0,2290,35,30,0,6/29/20,06-2020,2020,6,Midwest
Iowa,IA,,22,18,0,2091,34,30,0,6/23/20,06-2020,2020,6,Midwest
Iowa,IA,,18,18,0,1792,30,23,0,6/16/20,06-2020,2020,6,Midwest
Iowa,IA,,18,17,0,1601,30,23,0,6/9/20,06-2020,2020,6,Midwest
Iowa,IA,,18,11,0,1437,24,8,0,6/2/20,06-2020,2020,6,Midwest
Iowa,IA,,63,40,0,5853,375,313,3,7/28/20,07-2020,2020,7,Midwest
Iowa,IA,,61,32,0,5096,334,208,1,7/21/20,07-2020,2020,7,Midwest
Iowa,IA,,51,25,0,4004,225,35,1,7/14/20,07-2020,2020,7,Midwest
Iowa,IA,,33,23,0,2722,96,30,1,7/7/20,07-2020,2020,7,Midwest
Iowa,IA,,95,74,0,9017,524,397,3,8/25/20,08-2020,2020,8,Midwest
Iowa,IA,,88,66,0,7825,439,384,3,8/18/20,08-2020,2020,8,Midwest
Iowa,IA,,71,64,0,7245,397,367,3,8/11/20,08-2020,2020,8,Midwest
Iowa,IA,,65,60,0,6618,378,357,3,8/4/20,08-2020,2020,8,Midwest
Iowa,IA,,149,124,0,13553,1083,1012,4,9/29/20,09-2020,2020,9,Midwest
Iowa,IA,,140,118,0,12608,1012,837,4,9/22/20,09-2020,2020,9,Midwest
Iowa,IA,,129,114,0,12076,837,804,4,9/15/20,09-2020,2020,9,Midwest
Iowa,IA,,120,100,0,10886,819,608,4,9/8/20,09-2020,2020,9,Midwest
Iowa,IA,,116,81,0,9695,658,485,3,9/1/20,09-2020,2020,9,Midwest
Iowa,IA,,199,169,0,19731,1256,1229,4,10/27/20,10-2020,2020,10,Midwest
Iowa,IA,,176,159,0,19241,1238,1205,4,10/20/20,10-2020,2020,10,Midwest
Iowa,IA,,164,141,0,18066,1215,1153,4,10/13/20,10-2020,2020,10,Midwest
Iowa,IA,,158,135,0,15907,1163,1079,4,10/6/20,10-2020,2020,10,Midwest
Iowa,IA,,484,400,1,27598,3199,2983,10,11/24/20,11-2020,2020,11,Midwest
Iowa,IA,,421,290,1,26233,2985,2390,7,11/17/20,11-2020,2020,11,Midwest
Iowa,IA,,333,223,0,23797,2426,1269,5,11/10/20,11-2020,2020,11,Midwest
Iowa,IA,,251,182,0,21878,1394,1246,4,11/3/20,11-2020,2020,11,Midwest
Iowa,IA,,612,579,2,32470,3957,3772,13,12/29/20,12-2020,2020,12,Midwest
Iowa,IA,,600,565,2,32061,3794,3689,13,12/22/20,12-2020,2020,12,Midwest
Iowa,IA,,578,530,2,30588,3732,3609,12,12/15/20,12-2020,2020,12,Midwest
Iowa,IA,,548,496,2,29792,3666,3295,11,12/8/20,12-2020,2020,12,Midwest
Iowa,IA,,521,463,2,28304,3374,3171,10,12/1/20,12-2020,2020,12,Midwest
Kansas,KS,450,0,50,0,0,0,852,0,3/26/20,03-2020,2020,3,Midwest
Kansas,KS,450,78,50,0,2084,81,852,2,4/29/20,04-2020,2020,4,Midwest
Kansas,KS,450,61,50,0,2084,52,852,0,4/22/20,04-2020,2020,4,Midwest
Kansas,KS,450,24,50,0,2084,21,852,0,4/15/20,04-2020,2020,4,Midwest
Kansas,KS,450,14,50,0,2084,12,852,0,4/9/20,04-2020,2020,4,Midwest
Kansas,KS,450,3,50,0,0,0,852,0,4/1/20,04-2020,2020,4,Midwest
Kansas,KS,450,111,50,2,2186,865,852,4,5/27/20,05-2020,2020,5,Midwest
Kansas,KS,450,111,50,2,2084,865,852,4,5/20/20,05-2020,2020,5,Midwest
Kansas,KS,450,96,50,2,2084,790,852,3,5/13/20,05-2020,2020,5,Midwest
Kansas,KS,450,95,50,0,2084,615,852,3,5/6/20,05-2020,2020,5,Midwest
Kansas,KS,685,115,67,2,2719,901,893,4,6/23/20,06-2020,2020,6,Midwest
Kansas,KS,685,114,67,2,2706,894,887,4,6/15/20,06-2020,2020,6,Midwest
Kansas,KS,685,114,67,2,2693,891,858,4,6/8/20,06-2020,2020,6,Midwest
Kansas,KS,450,111,49,2,2682,879,853,4,6/2/20,06-2020,2020,6,Midwest
Kansas,KS,685,128,118,3,3957,925,910,4,7/29/20,07-2020,2020,7,Midwest
Kansas,KS,685,121,113,2,3027,911,906,4,7/22/20,07-2020,2020,7,Midwest
Kansas,KS,685,112,112,2,2792,910,906,4,7/15/20,07-2020,2020,7,Midwest
Kansas,KS,685,121,111,2,2724,910,906,4,7/10/20,07-2020,2020,7,Midwest
Kansas,KS,685,115,111,2,2724,910,897,4,7/1/20,07-2020,2020,7,Midwest
Kansas,KS,1744,185,161,3,6216,1408,1018,4,8/26/20,08-2020,2020,8,Midwest
Kansas,KS,1629,179,139,3,5609,1151,926,4,8/19/20,08-2020,2020,8,Midwest
Kansas,KS,1601,157,136,3,4977,1029,922,4,8/12/20,08-2020,2020,8,Midwest
Kansas,KS,685,135,121,3,4224,928,919,4,8/5/20,08-2020,2020,8,Midwest
Kansas,KS,2150,227,161,3,10918,2087,1018,5,9/23/20,09-2020,2020,9,Midwest
Kansas,KS,2150,216,161,3,7445,1939,1018,5,9/16/20,09-2020,2020,9,Midwest
Kansas,KS,2008,216,161,3,7091,1750,1018,4,9/9/20,09-2020,2020,9,Midwest
Kansas,KS,2008,216,161,3,7091,1571,1018,4,9/3/20,09-2020,2020,9,Midwest
Kansas,KS,2150,422,161,3,10918,3605,1018,7,10/29/20,10-2020,2020,10,Midwest
Kansas,KS,2150,333,161,3,10918,2828,1018,5,10/20/20,10-2020,2020,10,Midwest
Kansas,KS,2150,296,161,3,10918,2486,1018,5,10/7/20,10-2020,2020,10,Midwest
Kansas,KS,2150,284,161,3,10918,2411,1018,5,10/2/20,10-2020,2020,10,Midwest
Kansas,KS,2150,674,161,3,10918,4665,1018,11,11/23/20,11-2020,2020,11,Midwest
Kansas,KS,2150,617,161,3,10918,4539,1018,11,11/18/20,11-2020,2020,11,Midwest
Kansas,KS,2150,557,161,3,10918,4406,1018,9,11/12/20,11-2020,2020,11,Midwest
Kansas,KS,2150,475,161,3,10918,3653,1018,9,11/4/20,11-2020,2020,11,Midwest
Kansas,KS,2150,965,161,4,10918,5183,1018,12,12/28/20,12-2020,2020,12,Midwest
Kansas,KS,2150,898,161,3,10918,5156,1018,11,12/14/20,12-2020,2020,12,Midwest
Kansas,KS,2150,872,161,3,10918,5111,1018,11,12/10/20,12-2020,2020,12,Midwest
Kansas,KS,2150,802,161,3,10918,4960,1018,11,12/3/20,12-2020,2020,12,Midwest
Kentucky,KY,81,5,40,0,44,9,43,0,3/26/20,03-2020,2020,3,South
Kentucky,KY,81,30,40,0,44,47,43,2,4/29/20,04-2020,2020,4,South
Kentucky,KY,81,15,40,0,44,19,43,1,4/22/20,04-2020,2020,4,South
Kentucky,KY,81,13,40,0,44,18,43,0,4/15/20,04-2020,2020,4,South
Kentucky,KY,81,5,40,0,44,9,43,0,4/9/20,04-2020,2020,4,South
Kentucky,KY,81,5,40,0,44,9,43,0,4/1/20,04-2020,2020,4,South
Kentucky,KY,81,53,40,0,44,359,43,2,5/27/20,05-2020,2020,5,South
Kentucky,KY,81,52,40,0,44,358,43,2,5/20/20,05-2020,2020,5,South
Kentucky,KY,81,52,40,0,44,357,43,2,5/13/20,05-2020,2020,5,South
Kentucky,KY,81,51,40,0,44,340,43,2,5/6/20,05-2020,2020,5,South
Kentucky,KY,81,65,85,0,44,432,555,2,6/29/20,06-2020,2020,6,South
Kentucky,KY,81,61,85,0,44,430,555,2,6/23/20,06-2020,2020,6,South
Kentucky,KY,81,57,48,0,44,409,346,2,6/16/20,06-2020,2020,6,South
Kentucky,KY,81,57,44,0,44,367,284,2,6/9/20,06-2020,2020,6,South
Kentucky,KY,81,55,40,0,44,363,43,2,6/2/20,06-2020,2020,6,South
Kentucky,KY,81,120,85,0,44,807,555,8,7/28/20,07-2020,2020,7,South
Kentucky,KY,81,108,85,0,44,770,555,6,7/20/20,07-2020,2020,7,South
Kentucky,KY,81,83,85,0,44,624,555,4,7/14/20,07-2020,2020,7,South
Kentucky,KY,81,72,85,0,44,528,555,2,7/7/20,07-2020,2020,7,South
Kentucky,KY,81,149,125,1,44,877,674,12,8/25/20,08-2020,2020,8,South
Kentucky,KY,81,147,114,1,44,863,570,12,8/18/20,08-2020,2020,8,South
Kentucky,KY,81,141,99,0,44,851,565,11,8/11/20,08-2020,2020,8,South
Kentucky,KY,81,129,85,0,44,838,555,10,8/4/20,08-2020,2020,8,South
Kentucky,KY,81,154,151,1,44,900,887,13,9/29/20,09-2020,2020,9,South
Kentucky,KY,81,154,149,1,44,900,887,13,9/22/20,09-2020,2020,9,South
Kentucky,KY,81,152,147,1,44,896,867,13,9/15/20,09-2020,2020,9,South
Kentucky,KY,81,151,144,1,44,888,786,13,9/8/20,09-2020,2020,9,South
Kentucky,KY,81,150,134,1,44,877,693,13,9/1/20,09-2020,2020,9,South
Kentucky,KY,81,194,183,2,44,1164,1171,13,10/27/20,10-2020,2020,10,South
Kentucky,KY,81,169,183,1,44,938,1171,13,10/20/20,10-2020,2020,10,South
Kentucky,KY,81,164,153,1,44,902,887,13,10/13/20,10-2020,2020,10,South
Kentucky,KY,81,158,151,1,44,900,887,13,10/6/20,10-2020,2020,10,South
Kentucky,KY,81,364,272,2,44,2486,1499,15,11/24/20,11-2020,2020,11,South
Kentucky,KY,81,311,183,2,44,2056,1171,13,11/18/20,11-2020,2020,11,South
Kentucky,KY,81,229,183,2,44,1524,1171,13,11/10/20,11-2020,2020,11,South
Kentucky,KY,81,208,183,2,44,1250,1171,13,11/3/20,11-2020,2020,11,South
Kentucky,KY,81,573,472,4,44,4138,3069,34,12/28/20,12-2020,2020,12,South
Kentucky,KY,81,532,448,4,44,3873,2862,34,12/22/20,12-2020,2020,12,South
Kentucky,KY,81,477,412,3,44,3123,2676,28,12/15/20,12-2020,2020,12,South
Kentucky,KY,81,456,387,3,44,2895,2572,24,12/8/20,12-2020,2020,12,South
Kentucky,KY,81,425,330,2,44,2706,2371,17,12/1/20,12-2020,2020,12,South
Louisiana,LA,1033,2,70,0,32,0,38,0,3/26/20,03-2020,2020,3,South
Louisiana,LA,1033,104,70,3,1640,273,38,3,4/29/20,04-2020,2020,4,South
Louisiana,LA,1033,78,70,3,1640,120,38,2,4/22/20,04-2020,2020,4,South
Louisiana,LA,1033,55,70,1,1640,65,38,0,4/15/20,04-2020,2020,4,South
Louisiana,LA,1033,32,70,0,1640,33,38,0,4/8/20,04-2020,2020,4,South
Louisiana,LA,1033,5,70,0,1640,14,38,0,4/1/20,04-2020,2020,4,South
Louisiana,LA,1033,149,70,3,1640,511,38,14,5/27/20,05-2020,2020,5,South
Louisiana,LA,1033,164,70,3,1640,438,38,11,5/20/20,05-2020,2020,5,South
Louisiana,LA,1033,134,70,3,1640,374,38,10,5/13/20,05-2020,2020,5,South
Louisiana,LA,1033,120,70,3,1640,338,38,4,5/6/20,05-2020,2020,5,South
Louisiana,LA,1033,193,152,3,1640,627,559,16,6/30/20,06-2020,2020,6,South
Louisiana,LA,1033,181,140,3,1640,624,537,15,6/23/20,06-2020,2020,6,South
Louisiana,LA,1033,171,131,3,1640,616,475,15,6/16/20,06-2020,2020,6,South
Louisiana,LA,1033,165,105,3,1640,606,312,15,6/9/20,06-2020,2020,6,South
Louisiana,LA,1033,158,93,3,1640,556,110,14,6/2/20,06-2020,2020,6,South
Louisiana,LA,1329,295,204,5,2151,833,601,17,7/28/20,07-2020,2020,7,South
Louisiana,LA,1182,262,184,4,1845,713,576,16,7/21/20,07-2020,2020,7,South
Louisiana,LA,1033,234,174,3,1640,663,572,16,7/14/20,07-2020,2020,7,South
Louisiana,LA,1033,216,162,3,1640,641,568,16,7/7/20,07-2020,2020,7,South
Louisiana,LA,1809,387,291,5,4940,1225,921,19,8/25/20,08-2020,2020,8,South
Louisiana,LA,1724,366,281,5,3680,1006,823,19,8/18/20,08-2020,2020,8,South
